Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,Normalized Cost,Assigned Role
Alberto Moreno,Alberto Moreno Rebanal,64,80,1500000,CM,CAM,Spain,https://cdn.sofifa.net/players/263/945/23_60.png,20,175,69,1717,366,Atlético de Madrid,8000,4000000,RES,2023,32,2021,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,67,60,63,68,53,55,53,62,47,69,46,67,49,54,65,70,68,66,70,58,77,61,66,54,55,57,54,57,57,65,64,62,48,56,53,6,12,15,6,10,63,64,64,64,64,64,67,66,66,66,61,62,61,60,57,60,16,0.010309278350515464,GK
S. Savić,Stefan Savić,84,84,29000000,CB,CB,Montenegro,https://cdn.sofifa.net/players/204/639/23_60.png,31,187,80,1755,382,Atlético de Madrid,74000,59500000,CB,2024,15,2015,-,Right,3,2,2,-,-,-,-,Medium,High,64,35,58,58,87,80,36,34,84,73,27,47,34,30,72,67,60,68,58,82,52,43,86,69,83,31,86,87,29,55,37,80,90,86,83,14,13,14,13,12,56,53,54,54,54,53,59,59,67,59,74,81,74,77,84,77,23,0.33431516936671574,LB
J. Giménez,José María Giménez,83,85,38500000,CB,CB,Uruguay,https://cdn.sofifa.net/players/216/460/23_60.png,27,185,79,1820,402,Atlético de Madrid,68000,81800000,SUB,2025,2,2013,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,High,71,46,57,60,85,83,47,37,82,70,33,54,36,44,67,66,70,71,52,78,56,73,90,70,86,48,88,84,25,46,38,75,87,85,85,9,11,7,10,15,60,55,56,56,56,55,58,60,65,60,75,78,75,78,85,78,20,0.44624447717231225,CB1
Felipe,Felipe Augusto de Almeida Monteiro,81,81,12500000,CB,CB,Brazil,https://cdn.sofifa.net/players/207/863/23_60.png,33,190,84,1771,386,Atlético de Madrid,57000,25600000,SUB,2023,18,2019,-,Right,3,2,3,-,https://cdn.sofifa.net/flags/br.png,-,-,Low,High,59,43,59,61,81,83,45,40,81,76,44,57,32,32,69,64,52,64,60,77,47,54,90,62,90,41,89,82,34,50,47,74,83,80,79,9,11,14,9,7,60,55,56,56,56,55,61,61,67,61,72,79,72,75,81,75,20,0.13991163475699558,CB2
G. Kondogbia,Geoffrey Kondogbia,82,82,29500000,"CM,CDM,CB",CDM,Central African Republic,https://cdn.sofifa.net/players/201/455/23_60.png,29,188,76,2181,465,Atlético de Madrid,71000,60500000,CDM,2024,4,2020,-,Left,3,3,2,-,-,-,-,Medium,High,68,75,77,76,81,88,64,69,77,83,62,76,64,66,81,79,67,69,73,84,58,87,79,87,91,83,86,85,80,84,53,83,79,82,80,15,10,10,8,10,80,76,78,78,78,76,81,79,82,79,81,82,81,81,82,81,21,0.3402061855670103,RB
Koke,Jorge Resurrección,83,83,34500000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/193/747/23_60.png,30,176,75,2192,462,Atlético de Madrid,74000,70700000,CM,2024,6,2011,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,CM,8,Medium,Medium,70,72,84,79,78,79,85,69,61,86,56,77,84,77,84,81,72,69,72,84,81,81,59,91,75,75,78,82,76,83,67,85,81,82,70,14,12,5,10,13,77,78,78,78,78,78,82,83,83,83,83,83,83,82,80,82,23,0.39911634756995584,CM1
R. De Paul,Rodrigo Javier De Paul,84,84,42000000,CM,CM,Argentina,https://cdn.sofifa.net/players/212/616/23_60.png,28,180,70,2240,476,Atlético de Madrid,85000,86100000,CM,2026,5,2021,-,Right,3,4,1,Argentina,https://cdn.sofifa.net/flags/ar.png,CM,7,High,Medium,78,77,83,82,75,81,78,76,58,85,71,82,84,76,85,85,80,76,78,81,80,80,68,91,80,78,76,79,78,86,66,81,71,81,75,13,12,10,7,14,79,81,81,81,81,81,84,84,84,84,82,83,82,81,78,81,21,0.48748159057437407,CM2
T. Lemar,Thomas Lemar,83,86,47000000,"CM,LM,RM",CAM,France,https://cdn.sofifa.net/players/213/565/23_60.png,26,171,66,2215,462,Atlético de Madrid,74000,99900000,SUB,2023,11,2018,-,Left,3,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,82,78,83,87,68,64,82,77,54,84,77,88,85,81,80,86,84,81,90,82,85,79,68,80,56,79,63,78,81,85,69,80,55,77,69,11,15,13,7,14,80,83,82,82,82,83,86,86,86,86,81,79,81,79,72,79,23,0.5463917525773195,CM3
Reguilón,Sergio Reguilón Rodríguez,80,83,25500000,"LWB,LB",LWB,Spain,https://cdn.sofifa.net/players/245/279/23_60.png,25,178,68,2020,438,Atlético de Madrid,82000,0,SUB,2023,3,2020,TRUE,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,83,57,74,78,77,69,79,53,72,78,43,79,73,43,71,79,83,83,76,77,74,69,64,73,65,58,77,78,76,73,42,74,76,79,76,11,14,9,5,12,72,75,74,74,74,75,77,78,77,78,80,78,80,80,77,80,20,0.2930780559646539,LW
Marcos Llorente,Marcos Llorente Moreno,84,85,48000000,"CM,RM,RB",CAM,Spain,https://cdn.sofifa.net/players/226/161/23_60.png,27,184,74,2244,489,Atlético de Madrid,81000,102000000,SUB,2027,14,2019,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,SUB,6,High,Medium,88,79,81,82,78,81,74,80,67,86,66,82,75,63,81,84,85,90,82,85,68,84,69,90,77,77,82,81,84,84,65,83,79,79,74,13,6,6,11,15,84,83,83,83,83,83,85,85,85,85,85,85,85,84,81,84,22,0.5581737849779087,RW
Reinildo,Reinildo Isnard Mandava,79,79,16000000,"LB,CB",LB,Mozambique,https://cdn.sofifa.net/players/236/045/23_60.png,28,180,73,1970,430,Atlético de Madrid,53000,32799999,CB,2025,23,2022,-,Left,3,3,1,-,-,-,-,Medium,High,80,54,66,74,78,78,72,55,76,74,51,73,67,35,57,76,76,84,76,75,70,58,81,82,75,46,80,75,70,60,42,69,76,81,78,6,8,13,15,7,70,71,69,69,69,71,71,74,71,74,79,76,79,79,79,79,18,0.18114874815905743,ST
