Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,Normalized Cost,Assigned Role
J. Oblak,Jan Oblak,89,91,85500000,GK,GK,Slovenia,https://cdn.sofifa.net/players/200/389/23_60.png,29,188,87,1402,479,Atlético de Madrid,100000,181700000,GK,2023,13,2014,-,Right,3,1,5,-,-,-,-,Medium,Medium,86,90,78,89,49,87,13,11,15,43,13,12,13,14,40,30,43,58,65,87,49,59,77,41,78,12,34,21,11,65,11,68,27,12,18,86,90,78,87,89,36,32,34,34,34,32,41,37,41,37,35,40,35,35,36,35,90,1.0,GK
Matheus Cunha,Matheus Santos Carneiro Da Cunha,81,86,39500000,"ST,CAM,LM",CAM,Brazil,https://cdn.sofifa.net/players/240/243/23_60.png,23,184,75,2018,431,Atlético de Madrid,60000,83900000,SUB,2026,9,2021,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,84,82,75,84,32,74,75,84,65,78,75,86,77,64,67,84,81,86,85,82,70,83,74,81,72,82,68,24,83,77,74,82,29,28,32,8,7,13,13,11,83,82,82,82,82,82,83,83,76,83,63,59,63,59,51,59,20,0.4580265095729013,CB1
A. Griezmann,Antoine Griezmann,83,83,30500000,"ST,CF,RW",CAM,France,https://cdn.sofifa.net/players/194/765/23_60.png,31,176,73,2235,454,Atlético de Madrid,185000,0,SUB,2023,8,2019,TRUE,Left,3,4,4,France,https://cdn.sofifa.net/flags/fr.png,CAM,7,Medium,Medium,80,82,83,85,52,72,83,82,83,81,85,84,86,85,80,85,79,80,90,85,83,82,88,85,64,81,73,49,88,85,79,89,43,54,50,14,8,14,13,14,83,83,83,83,83,83,83,83,83,83,73,71,73,71,65,71,23,0.35198821796759944,CB2
Felipe,Felipe Augusto de Almeida Monteiro,81,81,12500000,CB,CB,Brazil,https://cdn.sofifa.net/players/207/863/23_60.png,33,190,84,1771,386,Atlético de Madrid,57000,25600000,SUB,2023,18,2019,-,Right,3,2,3,-,https://cdn.sofifa.net/flags/br.png,-,-,Low,High,59,43,59,61,81,83,45,40,81,76,44,57,32,32,69,64,52,64,60,77,47,54,90,62,90,41,89,82,34,50,47,74,83,80,79,9,11,14,9,7,60,55,56,56,56,55,61,61,67,61,72,79,72,75,81,75,20,0.13991163475699558,CB3
João Félix,João Félix Sequeira,84,90,68500000,"CF,ST",CAM,Portugal,https://cdn.sofifa.net/players/242/444/23_60.png,22,181,72,2110,439,Atlético de Madrid,78000,154100000,ST,2026,7,2019,-,Right,4,5,2,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,23,Medium,Medium,83,80,81,88,40,67,77,79,69,83,83,89,83,67,76,88,84,83,88,83,84,80,76,75,62,81,68,40,85,86,68,86,30,42,35,13,12,14,13,14,83,84,84,84,84,84,87,85,81,85,67,65,67,63,56,63,23,0.7997054491899853,LM
Koke,Jorge Resurrección,83,83,34500000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/193/747/23_60.png,30,176,75,2192,462,Atlético de Madrid,74000,70700000,CM,2024,6,2011,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,CM,8,Medium,Medium,70,72,84,79,78,79,85,69,61,86,56,77,84,77,84,81,72,69,72,84,81,81,59,91,75,75,78,82,76,83,67,85,81,82,70,14,12,5,10,13,77,78,78,78,78,78,82,83,83,83,83,83,83,82,80,82,23,0.39911634756995584,CM1
R. De Paul,Rodrigo Javier De Paul,84,84,42000000,CM,CM,Argentina,https://cdn.sofifa.net/players/212/616/23_60.png,28,180,70,2240,476,Atlético de Madrid,85000,86100000,CM,2026,5,2021,-,Right,3,4,1,Argentina,https://cdn.sofifa.net/flags/ar.png,CM,7,High,Medium,78,77,83,82,75,81,78,76,58,85,71,82,84,76,85,85,80,76,78,81,80,80,68,91,80,78,76,79,78,86,66,81,71,81,75,13,12,10,7,14,79,81,81,81,81,81,84,84,84,84,82,83,82,81,78,81,21,0.48748159057437407,CM2
Morata,Álvaro Borja Morata Martín,80,80,21000000,ST,ST,Spain,https://cdn.sofifa.net/players/201/153/23_60.png,29,190,84,1926,416,Atlético de Madrid,66000,43100000,ST,2024,19,2020,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,ST,7,Medium,Medium,80,78,72,78,31,77,72,82,85,76,79,79,78,50,60,80,78,81,72,80,63,77,86,77,80,70,69,24,83,77,75,79,37,14,20,4,5,4,4,5,80,78,79,79,79,78,80,80,73,80,60,57,60,56,52,56,16,0.24005891016200295,CM3
Y. Carrasco,Yannick Carrasco,85,85,54500000,LM,LM,Belgium,https://cdn.sofifa.net/players/208/418/23_60.png,28,181,73,2153,458,Atlético de Madrid,90000,111700000,LM,2024,21,2020,-,Right,4,4,3,Belgium,https://cdn.sofifa.net/flags/be.png,LM,11,High,High,89,82,80,87,53,67,81,81,53,80,74,90,87,80,74,86,89,89,87,81,71,85,71,79,61,82,65,47,82,80,81,84,44,64,60,9,11,9,10,10,82,84,83,83,83,84,85,85,82,85,75,71,75,72,64,72,21,0.6347569955817378,LW
Marcos Llorente,Marcos Llorente Moreno,84,85,48000000,"CM,RM,RB",CAM,Spain,https://cdn.sofifa.net/players/226/161/23_60.png,27,184,74,2244,489,Atlético de Madrid,81000,102000000,SUB,2027,14,2019,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,SUB,6,High,Medium,88,79,81,82,78,81,74,80,67,86,66,82,75,63,81,84,85,90,82,85,68,84,69,90,77,77,82,81,84,84,65,83,79,79,74,13,6,6,11,15,84,83,83,83,83,83,85,85,85,85,85,85,85,84,81,84,22,0.5581737849779087,RW
